"method_norm","n","r_mem_bytes","rust_mem_bytes","mem_ratio","module"
"WeightIt",100,2086048,26438,78.9033966260685,"Causal"
"WeightIt",1000,2776856,269158,10.3168250618596,"Causal"
"DiD",100,30896,25351,1.21872904421916,"Causal"
"IPW",100,230408,31943,7.21309833140281,"Causal"
"Matching",100,2233536,64375,34.6957048543689,"Causal"
"CBPS",100,7583512,3909286,1.93987137293102,"Causal"
"DiD",1000,290064,131719,2.2021424395873,"Causal"
"IPW",1000,2010136,332999,6.03646257195968,"Causal"
"CBPS",1000,69444128,30196806,2.29971765888088,"Causal"
"Matching",1000,2342472,711386,3.29282836603475,"Causal"
"Jarque_Bera",100,70456,867,81.2641291810842,"Diagnostics"
"Jarque_Bera",1000,398840,8060,49.4838709677419,"Diagnostics"
"RESET",100,272304,62581,4.35122481264281,"Diagnostics"
"Breusch_Godfrey",100,175104,57899,3.02430093784003,"Diagnostics"
"RESET",1000,1041512,368917,2.82316076515856,"Diagnostics"
"Jarque_Bera",10000,4013720,80060,50.1338995753185,"Diagnostics"
"Breusch_Godfrey",1000,757192,328241,2.3068172470837,"Diagnostics"
"RESET",10000,10467272,3032917,3.45122270078607,"Diagnostics"
"Breusch_Godfrey",10000,7576072,2632241,2.87818326665378,"Diagnostics"
"VIF",100,232752,164323,1.41642983635888,"Diagnostics"
"Durbin_Watson",1000,1080176,793894,1.36060481626011,"Diagnostics"
"Breusch_Pagan",100,260544,164323,1.58556014678408,"Diagnostics"
"Durbin_Watson",100,348664,164323,2.12182104757094,"Diagnostics"
"Breusch_Pagan",1000,905240,793894,1.14025298087654,"Diagnostics"
"VIF",1000,461760,793894,0.581639362433776,"Diagnostics"
"Durbin_Watson",10000,10779056,5690084,1.89435797432867,"Diagnostics"
"Breusch_Pagan",10000,9157880,5690084,1.60944548446033,"Diagnostics"
"VIF",10000,4616640,5690084,0.811348303469685,"Diagnostics"
"NegBin",10000,595520248,2085447,285.560001285096,"Discrete"
"ZINB",100,2828752,84677,33.4063795363558,"Discrete"
"ZINB",1000,65026824,250277,259.819416086976,"Discrete"
"NegBin",100,957032,26247,36.4625290509392,"Discrete"
"ZINB",10000,523749184,1906277,274.749778757232,"Discrete"
"Hurdle",100,1788512,188141,9.50623202810658,"Discrete"
"NegBin",1000,6405368,213447,30.0091732373845,"Discrete"
"ZIP",10000,197261608,1746277,112.961235817685,"Discrete"
"ZIP",1000,18001008,234277,76.8364286720421,"Discrete"
"Hurdle",10000,130844936,7874605,16.6160634088948,"Discrete"
"ZIP",100,2474640,83077,29.7873057524947,"Discrete"
"Hurdle",1000,9478528,1198157,7.91092319287038,"Discrete"
"Poisson",100,271400,352433,0.770075446964388,"Discrete"
"Multinomial_Logit",1000,651560,673988,0.966723443147356,"Discrete"
"Logit",100,448688,54722,8.19940791637733,"Discrete"
"Probit",100,229496,60938,3.7660573041452,"Discrete"
"Multinomial_Logit",100,387168,105788,3.65984799788256,"Discrete"
"Ordered_Logit",1000,7353112,559325,13.1464032539221,"Discrete"
"Ordered_Logit",100,988728,451925,2.18781434972617,"Discrete"
"Poisson",1000,2492496,2541725,0.980631657634087,"Discrete"
"Logit",1000,1937400,427562,4.53127265753271,"Discrete"
"Ordered_Logit",10000,89230120,1511725,59.0253650630902,"Discrete"
"Logit",10000,19268280,3835754,5.02333569879612,"Discrete"
"Poisson",10000,24775408,23402453,1.0586671405771,"Discrete"
"Probit",1000,1691168,427562,3.95537489299797,"Discrete"
"Probit",10000,20629096,3835754,5.37810714660012,"Discrete"
"Multinomial_Logit",10000,6498440,6234388,1.04235411719643,"Discrete"
"IV_2SLS",100,180400,43476,4.14941576962002,"Econometrics"
"IV_2SLS",1000,508456,189204,2.68734276230947,"Econometrics"
"K-Means",100,141480,15120,9.35714285714286,"ML"
"K-Means",10000,6669224,1203120,5.54327415386661,"ML"
"PCA",100,132520,22264,5.95220984549048,"ML"
"K-Means",1000,678344,123360,5.49889753566796,"ML"
"PCA",1000,284088,78232,3.63135289906943,"ML"
"SVM",100,546512,2872,190.289693593315,"ML"
"PCA",10000,2804088,438232,6.39863816426003,"ML"
"Silhouette",100,207424,89472,2.31831187410587,"ML"
"DBSCAN",1000,6600,16783334,0.00039324725349564,"ML"
"Silhouette",1000,12120960,8088576,1.49852829472085,"ML"
"Hierarchical",1000,12129424,4093056,2.96341511086093,"ML"
"DBSCAN",100,100160,43716,2.29115198096807,"ML"
"MDS",100,837688,8800000,0.0951918181818182,"ML"
"Hierarchical",100,134224,49356,2.7195072534241,"ML"
"MDS",1000,80365288,8068976000,0.00995978771036127,"ML"
"SVM",1000,1572160,36072,43.5839432246618,"ML"
"SVM",10000,15627040,360072,43.3997644915461,"ML"
"Granger",100,1939184,58248,33.2918555143524,"Other"
"Granger",1000,9514832,265732,35.8061204521849,"Other"
"FEGLM_Gaussian",100,4895000,75883,64.5072018765731,"Other"
"Competing_Risks",10000,28988984,5221590,5.55175415917374,"Other"
"AR",100,197488,2128,92.8045112781955,"Other"
"FEGLM_Gaussian",500,426840,297371,1.43537870202542,"Other"
"Sensemakr",100,716696,23266,30.8044356571822,"Other"
"Competing_Risks",100,693296,44110,15.717433688506,"Other"
"P_Adjust",100,9232,2400,3.84666666666667,"Other"
"Competing_Risks",1000,2747920,404558,6.7924005952175,"Other"
"AR",1000,286928,16536,17.351717464925,"Other"
"KM",100,767496,48116,15.9509518663231,"Other"
"Sensemakr",1000,849768,117427,7.23656399294881,"Other"
"FEGLM_Gaussian",1000,734040,518311,1.41621536104771,"Other"
"ANOVA_TwoWay",100,310296,17799,17.4333389516265,"Other"
"Sensemakr",10000,8547528,909427,9.3988060613991,"Other"
"P_Adjust",1000,72576,40000,1.8144,"Other"
"AR",10000,2842928,160536,17.7089749339712,"Other"
"KM",1000,851040,401316,2.12062314983704,"Other"
"KM",10000,8719744,5871020,1.4852179008077,"Other"
"ANOVA_TwoWay",500,174592,74887,2.33140598501743,"Other"
"P_Adjust",10000,720576,4e+05,1.80144,"Other"
"ANOVA_TwoWay",1000,346688,147655,2.34795977108801,"Other"
"K_Medoids",1000,4168768,32040360,0.130109898890025,"Other"
"K_Medoids",100,245240,350000,0.700685714285714,"Other"
"Hausman",100,684704,92474,7.40428661029046,"Panel"
"Random_Effects",100,1210200,63493,19.0603688595593,"Panel"
"Fixed_Effects",100,110120,28621,3.84752454491457,"Panel"
"HDFE",100,1676040,35331,47.4382270527299,"Panel"
"Random_Effects",1000,5147720,438385,11.7424638160521,"Panel"
"Hausman",1000,6645040,634892,10.4664100350926,"Panel"
"Fixed_Effects",1000,1019464,196377,5.1913615138229,"Panel"
"Hausman",10000,63921256,5400036,11.8371907150249,"Panel"
"HDFE",1000,648312,248779,2.60597558475595,"Panel"
"Random_Effects",10000,49390736,3728425,13.2470777875376,"Panel"
"Fixed_Effects",10000,10060120,1671217,6.01963718655327,"Panel"
"HDFE",10000,6466848,2189547,2.95350956156684,"Panel"
"OLS_Driscoll_Kraay",100,1507296,40772,36.9689002256451,"Regression"
"OLS_Driscoll_Kraay",500,1565224,132804,11.7859703020993,"Regression"
"OLS_Bootstrap",100,10625744,4289645,2.47706838211554,"Regression"
"OLS_HAC",100,1442944,25877,55.7616416122425,"Regression"
"OLS_Driscoll_Kraay",1000,3842264,211044,18.2059854817005,"Regression"
"OLS_Bootstrap",1000,95240480,19740077,4.82472687416569,"Regression"
"OLS_HC2",100,113416,32541,3.48532620386589,"Regression"
"OLS_HC0",100,112568,31726,3.54813087057934,"Regression"
"OLS_HAC",1000,5932304,96821,61.2708400037182,"Regression"
"OLS_HC0",1000,1059336,159679,6.63415978306477,"Regression"
"OLS_HC3",100,113416,32541,3.48532620386589,"Regression"
"OLS",100,477368,27660,17.2584237165582,"Regression"
"LOESS",100,185736,8616,21.5571030640669,"Regression"
"Stepwise",100,398096,183681,2.16732269532505,"Regression"
"OLS_HC0",10000,10578216,1239679,8.53302830813461,"Regression"
"OLS_HC2",1000,1067384,167709,6.36450041440829,"Regression"
"OLS_HC3",1000,1067384,167709,6.36450041440829,"Regression"
"OLS_Clustered",100,223608,31824,7.026395173454,"Regression"
"OLS_HC3",10000,10658264,1319709,8.07622286428296,"Regression"
"OLS",1000,370648,148352,2.49843615185505,"Regression"
"OLS_HC2",10000,10658264,1319709,8.07622286428296,"Regression"
"NLS",100,474368,150213,3.15796901732873,"Regression"
"OLS_HAC",10000,56215792,602261,93.3412457389736,"Regression"
"Stepwise",1000,1157768,957057,1.20971687161789,"Regression"
"GLS",100,9835144,392821,25.037215423819,"Regression"
"OLS_Clustered",500,272216,118524,2.29671627687219,"Regression"
"LOESS",10000,3014880,940016,3.20726455719903,"Regression"
"Quantile_Regression",100,390960,107507,3.63660040741533,"Regression"
"OLS",10000,3733528,1156352,3.22871236440115,"Regression"
"OLS_Clustered",1000,540632,208915,2.58780843883876,"Regression"
"LOESS",1000,3e+05,94016,3.19094622191967,"Regression"
"Quantile_Regression",1000,668648,1045459,0.639573622686303,"Regression"
"Smooth_Spline",100,167648,437640,0.383072845260945,"Regression"
"GLS",1000,844437280,32244661,26.1884372113573,"Regression"
"Smooth_Spline",1000,438008,18718984,0.023399133200819,"Regression"
"Prop_Trend",100,67256,30,2241.86666666667,"Stats"
"Prop_Trend",10000,0,121,0,"Stats"
"Prop_Trend",1000,0,121,0,"Stats"
"Phillips_Perron",100,184200,3168,58.1439393939394,"Stats"
"Friedman",100,152664,9726,15.6964836520666,"Stats"
"Friedman",10000,9496784,960126,9.89118511528695,"Stats"
"Friedman",1000,943376,96126,9.81395252064998,"Stats"
"Quade",10000,16282096,1920126,8.47970185289924,"Stats"
"Quade",1000,1598544,192126,8.32028980981231,"Stats"
"Quade",100,198720,17726,11.210651021099,"Stats"
"Prop_Test",1000,0,84,0,"Stats"
"Mantel_Haenszel",100,0,477,0,"Stats"
"Prop_Test",10000,0,84,0,"Stats"
"Prop_Test",100,2384,84,28.3809523809524,"Stats"
"Phillips_Perron",1000,403480,31968,12.6213713713714,"Stats"
"Median_Polish",100,12720,12080,1.05298013245033,"Stats"
"CCF",100,50184,604,83.0860927152318,"Stats"
"Box_Ljung",1000,48336,16080,3.00597014925373,"Stats"
"Box_Ljung",100,7040,1680,4.19047619047619,"Stats"
"Mantel_Haenszel",1000,32320,4149,7.78982887442757,"Stats"
"Fisher",100,182520,468,390,"Stats"
"Kruskal_Wallis",100,91072,7692,11.8398335933437,"Stats"
"Chi_squared",100,0,200,0,"Stats"
"Oneway",100,51544,6372,8.08913998744507,"Stats"
"Mantel_Haenszel",10000,288640,40869,7.06256575888816,"Stats"
"Wilcoxon",100,380448,7384,51.5232936078007,"Stats"
"Wilcoxon",1000,321424,89756,3.58108650118098,"Stats"
"Chi_squared",10000,0,200,0,"Stats"
"Chi_squared",1000,0,200,0,"Stats"
"Bartlett",100,71992,150,479.946666666667,"Stats"
"MANOVA",100,149584,11785,12.6927450148494,"Stats"
"Median_Polish",1000,235624,81096,2.90549472230443,"Stats"
"Oneway",10000,4823992,786660,6.13224518851855,"Stats"
"Kruskal_Wallis",1000,356016,81132,4.38810826800769,"Stats"
"PACF",100,57488,3608,15.9334811529933,"Stats"
"Shapiro_Wilk",100,3496,3643,0.959648641229756,"Stats"
"Cor_Test",100,157768,5672,27.8152327221439,"Stats"
"Oneway",1000,490616,49380,9.93552045362495,"Stats"
"Bartlett",10000,2040736,150,13604.9066666667,"Stats"
"Kruskal_Wallis",10000,3778416,858924,4.39901085544239,"Stats"
"KS_test",100,117608,2050,57.369756097561,"Stats"
"Robust_Stats",100,3040,6048,0.502645502645503,"Stats"
"Phillips_Perron",10000,4054360,319968,12.6711421142114,"Stats"
"Pairwise_Wilcox",1000,776672,196142,3.95974345117313,"Stats"
"ANOVA",100,17992,6600,2.72606060606061,"Stats"
"Pairwise_t",100,30904,3833,8.06261414036003,"Stats"
"Binom_Test",100,9024,19,474.947368421053,"Stats"
"Wilcoxon",10000,3438136,1094276,3.14192763068915,"Stats"
"ACF",100,18416,252,73.0793650793651,"Stats"
"Loglin",10000,208,2612,0.0796324655436447,"Stats"
"Binom_Test",1000,10168,19,535.157894736842,"Stats"
"Pairwise_Wilcox",100,42552,17030,2.49864944216089,"Stats"
"Loglin",1000,208,2612,0.0796324655436447,"Stats"
"Loglin",100,208,2612,0.0796324655436447,"Stats"
"CCF",1000,303760,604,502.913907284768,"Stats"
"Pairwise_Wilcox",10000,7432832,1890238,3.93222017544881,"Stats"
"t_test",1000,24248,17,1426.35294117647,"Stats"
"Tukey",10000,7826296,370,21152.1513513514,"Stats"
"Bartlett",1000,204736,150,1364.90666666667,"Stats"
"Box_Ljung",10000,480336,160080,3.00059970014992,"Stats"
"Pairwise_t",1000,105880,27137,3.90168404761027,"Stats"
"Cancor",100,44520,14392,3.09338521400778,"Stats"
"Fisher",1000,592040,3708,159.665587918015,"Stats"
"Var_Test",1000,40400,31,1303.22580645161,"Stats"
"Median_Polish",10000,3062608,813600,3.764267453294,"Stats"
"Power_Analysis",10000,0,62,0,"Stats"
"Weighted",100,3048,1600,1.905,"Stats"
"MANOVA",1000,302504,49489,6.11255026369496,"Stats"
"Power_Analysis",100,8664,62,139.741935483871,"Stats"
"t_test",100,99472,17,5851.29411764706,"Stats"
"Power_Analysis",1000,0,62,0,"Stats"
"Binom_Test",10000,100168,19,5272,"Stats"
"KS_test",1000,100920,24386,4.13844008857541,"Stats"
"Fligner",100,120352,21798,5.52124048077805,"Stats"
"Ansari",100,258576,6419,40.2829101106091,"Stats"
"PACF",1000,90496,3608,25.0820399113082,"Stats"
"Cor_Test",1000,36352,48744,0.745773838831446,"Stats"
"Mahalanobis",100,10640,18312,0.581039755351682,"Stats"
"t_test",10000,240248,17,14132.2352941176,"Stats"
"Mood",100,66416,12925,5.13856866537718,"Stats"
"Poisson_Test",100,8264,18,459.111111111111,"Stats"
"Var_Test",100,67288,31,2170.58064516129,"Stats"
"Shapiro_Wilk",1000,32296,40379,0.799821689492063,"Stats"
"Var_Test",10000,400400,31,12916.1290322581,"Stats"
"Ansari",10000,2303328,960019,2.39925251479398,"Stats"
"Isotonic_Regression",100,2152,6888,0.312427409988386,"Stats"
"Fisher",10000,6313616,36108,174.853661238507,"Stats"
"CCF",10000,3003760,604,4973.11258278146,"Stats"
"ANOVA",1000,161960,56904,2.84619710389428,"Stats"
"Isotonic_Regression",10000,200608,722024,0.277841179794577,"Stats"
"Ansari",1000,221568,96019,2.30754329872213,"Stats"
"ACF",1000,52984,252,210.253968253968,"Stats"
"Poisson_Test",1000,0,18,0,"Stats"
"Mood",1000,165376,145469,1.13684702582681,"Stats"
"Factor_Analysis",100,766600,604416,1.2683317450233,"Stats"
"Mood",10000,1743136,1848509,0.942995679220388,"Stats"
"Tukey",1000,776536,370,2098.74594594595,"Stats"
"Fligner",1000,686488,240198,2.85800880939891,"Stats"
"Pairwise_t",10000,1041880,217169,4.79755397869862,"Stats"
"Robust_Stats",1000,28240,73056,0.386552781427946,"Stats"
"KS_test",10000,1051800,342146,3.07412625019728,"Stats"
"Fligner",10000,6842488,2400198,2.85080147554493,"Stats"
"PACF",10000,882496,3608,244.594235033259,"Stats"
"MANOVA",10000,3053384,383521,7.96145191527974,"Stats"
"Isotonic_Regression",1000,20368,73000,0.279013698630137,"Stats"
"Weighted",1000,28248,16000,1.7655,"Stats"
"Tukey",100,409520,370,1106.81081081081,"Stats"
"Cor_Test",10000,360352,684264,0.526627149755065,"Stats"
"Mahalanobis",1000,104240,105288,0.990046349061621,"Stats"
"ANOVA",10000,1652840,516936,3.19737839887336,"Stats"
"Poisson_Test",10000,0,18,0,"Stats"
"Factor_Analysis",1000,782920,1174672,0.666500946647234,"Stats"
"Weighted",10000,280248,160000,1.75155,"Stats"
"Robust_Stats",10000,280240,1026336,0.27304898200979,"Stats"
"Spline",100,11152,16792,0.66412577417818,"Stats"
"Mahalanobis",10000,1040240,825288,1.26045695563246,"Stats"
"ACF",10000,520984,252,2067.39682539683,"Stats"
"Spline",1000,104720,183992,0.569155180660029,"Stats"
"Cancor",1000,426120,87161,4.88888378976836,"Stats"
"Cancor",10000,4242120,807876,5.25095435438112,"Stats"
"Spline",10000,1091600,1839992,0.593263448971517,"Stats"
"Cox_PH",100,698400,37622,18.5636064005103,"Survival"
"Log_Rank",100,130624,14768,8.84507042253521,"Survival"
"Log_Rank",1000,824320,162584,5.07011760074792,"Survival"
"Cox_PH",10000,13788128,3714150,3.71232395029818,"Survival"
"Log_Rank",10000,9645296,2115120,4.56016490790121,"Survival"
"AFT",100,887032,137570,6.44785927164353,"Survival"
"AFT",10000,24716648,8951906,2.76104865265565,"Survival"
"AFT",1000,2481512,1015714,2.44312079975269,"Survival"
"Cox_PH",1000,1351600,7731862,0.174809121011213,"Survival"
"VECM",100,521816,16660,31.3214885954382,"Time Series"
"Decompose",100,113808,4288,26.5410447761194,"Time Series"
"VECM",1000,835816,89428,9.34624502392987,"Time Series"
"VAR",100,203528,21484,9.47346862781605,"Time Series"
"MSTL",100,237192,10209,23.2336173964149,"Time Series"
"Decompose",1000,838008,40288,20.8004368546465,"Time Series"
"ARIMA",100,912104,140257,6.50309075482864,"Time Series"
"VAR",1000,901616,130156,6.92719505823781,"Time Series"
"Decompose",10000,8272008,400288,20.6651410984091,"Time Series"
"Holt_Winters",100,660376,995392,0.663433099723526,"Time Series"
"STL",100,42064,9280,4.53275862068966,"Time Series"
"Changepoint",100,360288,80042,4.50123685065341,"Time Series"
"ARIMA",1000,1086520,1620561,0.670459180493669,"Time Series"
"MSTL",1000,821424,96609,8.50256187311741,"Time Series"
"Holt_Winters",10000,156456512,64342864,2.43160627727109,"Time Series"
"Holt_Winters",1000,11723216,9205544,1.27349518942064,"Time Series"
"MSTL",10000,8141424,960609,8.47527349837447,"Time Series"
"STL",1000,272520,88480,3.08001808318264,"Time Series"
"STL",10000,2735400,880480,3.10671451935308,"Time Series"
"ARIMA",10000,12519664,88657841,0.141213274074653,"Time Series"
"Changepoint",1000,242376,3766122,0.0643569167435362,"Time Series"
"Changepoint",10000,2421296,40946762,0.0591327831978509,"Time Series"
"StructTS",100,23976,15927952,0.00150527826804099,"Time Series"
"StructTS",1000,117520,179548992,0.000654528876441701,"Time Series"
