"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"to_lowercase_10000","stringi",7891.22003,7817.865,6565.285,11073.537,100
"to_lowercase_10000","stringr",7936.75051,7885.11,6576.722,10572.956,100
"to_lowercase_10000","base_r",6883.48489,6889.5175,5591.403,8759.301,100
"to_uppercase_10000","stringi",7536.58903,7646.9665,6545.77,9266.436,100
"to_uppercase_10000","stringr",7403.72401,7415.494,6542.148,8486.945,100
"to_uppercase_10000","base_r",6600.7576,6693.135,5614.564,7814.472,100
"to_lowercase_1e+05","stringi",84778.68414,84345.1875,81457.417,133801.54,100
"to_lowercase_1e+05","stringr",85536.61803,84525.527,80947.272,150252.742,100
"to_lowercase_1e+05","base_r",74625.46394,73629.1595,68277.009,123627.839,100
"to_uppercase_1e+05","stringi",84867.42094,84333.3255,79426.477,128462.846,100
"to_uppercase_1e+05","stringr",84414.24869,83976.774,80715.841,129167.747,100
"to_uppercase_1e+05","base_r",75124.37589,73606.0415,70053.961,143217.283,100
