employee_id,firm_id,department,hire_date,salary,performance_score,education_level,is_manager
E001,ACME,Engineering,2018-03-15,85000,4.2,Masters,false
E002,ACME,Engineering,2015-07-01,110000,4.5,PhD,true
E003,ACME,Sales,2020-01-10,65000,3.8,Bachelors,false
E004,ACME,Sales,2016-11-20,92000,4.1,Bachelors,true
E005,ACME,Finance,2019-06-01,78000,3.9,Masters,false
E006,BETA,Engineering,2017-02-28,95000,4.4,Masters,false
E007,BETA,Engineering,2014-09-15,125000,4.7,PhD,true
E008,BETA,Marketing,2021-04-01,58000,3.6,Bachelors,false
E009,BETA,Operations,2019-08-12,72000,4.0,Bachelors,false
E010,GAMMA,Engineering,2016-05-20,88000,4.3,Masters,false
E011,GAMMA,Engineering,2013-01-08,135000,4.6,PhD,true
E012,GAMMA,Sales,2018-10-15,70000,3.7,Bachelors,false
E013,GAMMA,Sales,2015-03-22,98000,4.2,Masters,true
E014,GAMMA,Finance,2017-07-11,82000,4.0,Masters,false
E015,GAMMA,Finance,2012-12-01,120000,4.4,MBA,true
E016,DELTA,Engineering,2020-06-15,72000,3.9,Bachelors,false
E017,DELTA,Sales,2021-02-01,55000,3.5,Bachelors,false
E018,EPSILON,Sales,2019-04-10,68000,4.1,Bachelors,false
E019,EPSILON,Operations,2018-09-25,75000,3.8,Masters,false
E020,EPSILON,Operations,2016-03-01,95000,4.3,Bachelors,true
