firm_id,year,quarter,current_ratio,quick_ratio,debt_to_equity,interest_coverage,roa,roe,gross_margin,operating_margin,net_margin,asset_turnover
ACME,2022,Q1,2.25,1.38,0.79,5.71,0.025,0.044,0.40,0.167,0.103,0.24
ACME,2022,Q2,2.24,1.41,0.79,6.67,0.029,0.053,0.40,0.178,0.113,0.26
ACME,2022,Q3,2.22,1.44,0.77,6.25,0.026,0.046,0.40,0.173,0.109,0.24
ACME,2022,Q4,2.21,1.47,0.75,7.12,0.030,0.052,0.40,0.179,0.116,0.26
BETA,2022,Q1,2.00,1.25,0.88,6.22,0.028,0.052,0.40,0.175,0.110,0.25
BETA,2022,Q2,2.02,1.29,0.89,6.45,0.029,0.054,0.40,0.176,0.112,0.26
BETA,2022,Q3,2.00,1.31,0.86,6.27,0.026,0.049,0.40,0.174,0.110,0.24
BETA,2022,Q4,2.00,1.36,0.85,6.74,0.028,0.052,0.40,0.178,0.114,0.25
GAMMA,2022,Q1,2.00,1.33,0.89,6.40,0.030,0.056,0.40,0.160,0.101,0.29
GAMMA,2022,Q2,2.00,1.35,0.87,6.75,0.031,0.058,0.40,0.159,0.102,0.31
GAMMA,2022,Q3,2.00,1.38,0.86,6.67,0.029,0.055,0.40,0.162,0.103,0.29
GAMMA,2022,Q4,2.06,1.45,0.83,6.94,0.031,0.057,0.40,0.159,0.102,0.31
